mode,city,n,share,green_view_index,building_view_index,sky_view_index,top_road,top_road_share,top_year,top_year_share,top_month,top_month_share,top_hour,top_hour_share,top_source,top_source_share,top_projection_type,top_projection_type_share,confound_flag
0,Ottawa,1051,0.2102,0.1265598663341661,0.2314150188079886,0.1480648098944401,walk,0.47573739295908657,2017,0.3425309229305423,7,0.20266412940057088,14,0.13891531874405327,Mapillary,0.9333967649857279,perspective,0.7564224548049476,-
1,Ottawa,2138,0.4276,0.13624381279356756,0.18332553287047912,0.21813002170024667,drive,0.558933582787652,2017,0.3489242282507016,7,0.21141253507951357,14,0.1580916744621141,Mapillary,0.9293732460243218,perspective,0.7039289055191768,-
2,Ottawa,1811,0.3622,0.1470744003190749,0.1448047579657045,0.25392986298737774,drive,0.5726118166758697,2017,0.39480949751518496,7,0.18774157923799006,14,0.13914964108227498,Mapillary,0.9740474875759249,perspective,0.695196024295969,-
0,San Francisco,1605,0.321,0.20116451069644253,0.2014236649892967,0.1378275135789037,drive,0.7831775700934579,2016,0.5875389408099688,9,0.6292834890965732,15,0.1806853582554517,Mapillary,0.9925233644859813,perspective,1.0,month(+0.30)
1,San Francisco,1416,0.2832,0.20581613791370593,0.14262144857053333,0.3077226658232069,drive,0.7980225988700564,2016,0.20056497175141244,12,0.1942090395480226,11,0.1504237288135593,Mapillary,0.9498587570621468,perspective,1.0,-
2,San Francisco,1979,0.3958,0.22277769460989535,0.18400991309937054,0.19262967359905292,drive,0.7114704396159677,2016,0.3734209196563921,9,0.2748863062152602,7,0.13137948458817586,Mapillary,0.8524507326932794,perspective,1.0,-
0,San Jose,1153,0.2306,0.1323545709506267,0.2524834309442327,0.14170526655688423,drive,0.7077189939288812,2015,0.3148308759757155,1,0.2896790980052038,7,0.11274934952298352,Mapillary,0.955767562879445,perspective,0.9410234171725932,-
1,San Jose,2224,0.4448,0.11719965666656368,0.2029146167714171,0.19612621554753285,drive,0.7212230215827338,2017,0.3147482014388489,1,0.3268884892086331,16,0.09982014388489209,Mapillary,0.9321043165467626,perspective,0.8925359712230215,-
2,San Jose,1623,0.3246,0.08795604865733908,0.20291386759085459,0.2621287000775427,drive,0.8139248305606901,2015,0.3031423290203327,1,0.3099199014171288,12,0.08749229821318547,Mapillary,0.9242144177449169,perspective,0.904497843499692,-
0,Sao Paulo,2192,0.4384,0.1459203652063027,0.26773764833691777,0.183992055051086,drive,0.7696167883211679,2021,0.511405109489051,3,0.6021897810218978,16,0.17746350364963503,Mapillary,0.9543795620437956,fisheye,0.7258211678832117,-
1,Sao Paulo,790,0.158,0.15138038724017855,0.14833771508533686,0.11553432175666836,drive,0.8341772151898734,2020,0.3721518987341772,3,0.28354430379746837,12,0.10253164556962026,Mapillary,0.7734177215189874,perspective,0.7151898734177216,projection_type(+0.46)
2,Sao Paulo,2018,0.4036,0.1645938019710525,0.23308326417144698,0.2558593767944827,drive,0.8384539147670962,2020,0.5104063429137761,3,0.47621407333994054,17,0.13825569871159563,Mapillary,0.9915758176412289,fisheye,0.94400396432111,-
0,Singapore,1736,0.3472,0.49943870012988795,0.04567512506813657,0.07201575582472608,drive,0.4902073732718894,2015,0.4337557603686636,6,0.4619815668202765,11,0.195852534562212,Mapillary,0.8899769585253456,perspective,1.0,-
1,Singapore,1673,0.3346,0.4481129992137252,0.04717304860454798,0.18961615227392425,drive,0.7549312612074118,2015,0.7453676031081888,6,0.39748953974895396,11,0.20621637776449492,Mapillary,0.9276748356246264,perspective,1.0,year(+0.34)
2,Singapore,1591,0.3182,0.456316713890184,0.05994501418934915,0.13801233318020786,drive,0.6945317410433689,2017,0.9472030169704588,1,0.9472030169704588,11,0.3463230672532998,Mapillary,0.983029541169076,perspective,1.0,"year(+0.56), month(+0.53)"
0,Taipei,2010,0.402,0.13074019354531505,0.22576476853928898,0.1669356938520962,drive,0.7681592039800995,2020,0.5263681592039801,1,0.18606965174129353,21,0.0791044776119403,Mapillary,0.9985074626865672,fisheye,0.8711442786069652,-
1,Taipei,1788,0.3576,0.11041778053150213,0.265694865810006,0.190310480413164,drive,0.7975391498881432,2020,0.7136465324384788,9,0.1907158836689038,19,0.10514541387024609,Mapillary,1.0,fisheye,0.9798657718120806,-
2,Taipei,1202,0.2404,0.13119766039085598,0.26599897973996345,0.10386384511848834,drive,0.6422628951747088,2020,0.35856905158069885,8,0.20465890183028287,14,0.0973377703826955,Mapillary,0.997504159733777,fisheye,0.5690515806988353,-
0,Tokyo,1935,0.387,0.08321678182883697,0.2860167529493788,0.08118399824786723,drive,0.6568475452196383,2018,0.27958656330749354,4,0.16744186046511628,12,0.13178294573643412,Mapillary,0.9612403100775194,perspective,0.9881136950904392,-
1,Tokyo,1596,0.3192,0.06296720161357108,0.27774911246097367,0.10676822631061639,drive,0.7763157894736842,2018,0.35213032581453635,11,0.19548872180451127,8,0.19047619047619047,Mapillary,0.9630325814536341,perspective,0.9974937343358395,-
2,Tokyo,1469,0.2938,0.09975171272445148,0.3110727055456123,0.055984039933860086,drive,0.5330156569094622,2018,0.27161334240980256,4,0.21647379169503064,12,0.1279782164737917,Mapillary,0.9714091218515998,perspective,1.0,-
0,Washington,1794,0.3588,0.0005006550951742106,0.35055957695074297,0.0015105586560385878,drive,0.8338907469342252,2019,0.3500557413600892,12,0.3032329988851728,9,0.15105908584169453,Mapillary,1.0,perspective,1.0,-
1,Washington,1784,0.3568,0.10800257954749241,0.12112162058284594,0.006142474976573792,drive,0.804932735426009,2021,0.5033632286995515,12,0.4859865470852018,8,0.14573991031390135,Mapillary,0.999439461883408,perspective,0.9983183856502242,-
2,Washington,1422,0.2844,0.1602734497970571,0.17416322780244614,0.11365034452275714,drive,0.639943741209564,2022,0.3952180028129395,11,0.1729957805907173,8,0.13853727144866385,Mapillary,0.8804500703234881,perspective,0.7981715893108298,-
